context,slot,value,label
"i am looking for a place to go in the centre of town specializing in architecture .
we have 5 place -s to pick from any other preferences ?
no i do not . i do need the phone number and entrance fee .
i have 5 , 4 of them have free entrance and 1 with 2 pounds fees . do you want all the phone numbers ?
yes . give me the phone numbers .
i'll give you the phone number for all saints church . it is 01223452587 .
can you book tickets for me ?
no we do not book tickets for the attractions from here , but they do not charge a fee , anyone can go in for free . can i help you with anything else ?
i will need a hotel in the same area , preferably 4 stars and include free parking and internet . i will need a booking for 5 people , 5 nights starting saturday .",hotel stars,4,
"i am coming to town for an overdue visit with my relatives . can you help me find a place to stay ?
i can definitely help with that . are you leaning toward a guest house or hotel ?
i prefer a guest house with free wifi .
acorn guest house is available .
i really want to stay in the east and be 4 star rated . does the acorn fit that ?",hotel stars,4,
"i need a hotel on the west side .
there are 4 place -s in the west area . 2 are listed as guest houses and 2 are hotel -s . would you like more information ?
can you tell which ones have 4 stars and would be moderate -ly priced ?",hotel stars,4,
"could you give me the information for trinity college ?
certainly . trinity college is located in the centre of town at trinity street , postcode cb21tq . the phone number is 01223338400 and the entrance fee is 1 pound .
great thank you for the information !
you are welcome . what else can i help you with ?
would you be able to assist me with finding a room at a 4 star rated hotel or guest house ?",hotel stars,4,
hello . can you help me find a hotel in the north of town ?,hotel type,hotel,
can you help me find a place to stay ? i would like to stay in a hotel that include -s free wifi .,hotel type,hotel,
"i am planning your trip in cambridge . looking for a place to dine . the restaurant should be in the cheap price range and should serve steakhouse food
i have no place -s that meet your request . would you like to try a different type of food ?
sure , how about an italian 1 ?
is there a particular part of town you wish to dine in ?
any area is fine , i just need to know the area and address .
la margherita is located at 15 magdalene street city centre in the west part of town . do you need anything else ?
yes , i also need a hotel in the north .
the ashley hotel and the lovell lodge both will meet your needs , would you like me to book you a room at either of those ?
i need 1 that offers free parking and that is a guest house .",hotel type,guest house,
"can you tell me if there are any restuarants in the west side that have singaporean food ?
i am sorry , but there are no singaporean restaurant -s in all of cambridge . would you like to try a different type of cuisine ?
yes , how about thai food ? , thanks for checking .
sala thong is a thai restaurant on the west side at 35 newnham road .
can i get the price range , postcode , and phone number for them ?
it is expensive . postcode is cb39ey and phone number is 01223323178 .
thank you . i need to book a expensive hotel that has free wifi , can you help me ?
i have got 5 hotel -s that meet those criteria . is there a particular part of town you were interested in staying in ?
i am looking for a guest house in the same area as the restaurant .",hotel type,guest house,
i am looking for a place to stay . i would like for it to be a 4 star guest house .,hotel type,guest house,
"i need information for a train from cambridge to norwich .
there are several trains departing from cambridge arriving in norwich at a price of 17.60 pounds . what day are you looking to travel ?
i am looking to travel on sunday , and leave after 21:30
i have train tr7767 leaving at 21:36 and arriving by 22:55 . would that be something that would work for you ?
yes please book for 1 person and send the reference number .
okay , i have done that for you . your reference number is 0tdrhzkn .
thank you . i also need a place to stay . can you find me a 3 star guest house ?",hotel type,guest house,
is there any hotel in the area with 4 stars and i can get for cheap price .,hotel type,hotel,
"i am looking for a place to stay while in cambridge . what is available in the west area that has free wifi ?
there are 4 hotel -s to choose from . i can recommend finches bed and breakfast . it s a cheap 4 star guest house . does that work ?
i need a guest house with a star rating of 0 .",hotel type,guest house,
"i am looking for a place to stay with free parking .
great , i have several options for you . is there a particular area you are looking for ?
1 in the moderate price range .
can we narrow down your search by area ?
i would really like a guest house please .",hotel type,guest house,
"i am looking for a hotel in cambridge that has free parking and is in the expensive price range .
i found 5 expensive hotel -s with free parking . what part of town are you wanting to stay in ?
are any of them guest houses ?",hotel type,guest house,
i am looking for a place to stay in the moderate price range that include -s free parking .,hotel parking,yes,
i am looking for a place to stay . i need a 2 star hotel with free parking .,hotel parking,yes,
"i am looking for a 4 star hotel in the south .
it looks like there are not any 4 star hotel -s in the south . would you like me to search another area or look for different kind of hotel ?
what about in the centre ? a cheap 4 star hotel that include -s free parking",hotel parking,yes,
"i am looking for info about 4 star accommodations , somewhere where they do not nickel and dime you for services like wifi .
there are 21 guest houses and hotel -s in the area that are 4 stars and have free wifi . do you have a preference for price range or location ?
i would like 1 located in the east with a moderate price range .
there are 3 that fit your needs . do you need parking ?
no , i do not care about that . surprise me !",hotel parking,any,
"my husband and i are celebrating our anniversary and want to find a great place to stay in town .
congratulations on your upcoming anniversary ! cambridge offers a variety of lodging options , what is your price range ?
i would like a 4 star guest house that include -s free parking .",hotel parking,yes,
"i am looking for a swimmingpool in cambridge
we have 4 public pool in cambridge , do you have a preference on area ?
no . which 1 is best ?
parkside pools is located in the centre .
that will work for me , but i would like to stay in the north part of town , are there any open guest houses ?
how about acorn house ? it looks lovely
i need 1 that s expensive and has a 4 star rating .
i am sorry , i am afraid i do not see any guest houses matching that description . do you want to try a different price range or star rating ?
maybe try for a moderate instead ? also , what was the entrance fee for parkside pools ?
i am sorry i do not have information on the entrance fee at the parkside pools but you can call them at 01223446100 and ask .
thanks . going back to the hotel booking , would you try a moderate price range , please ?
there are 7 entries with a moderate price range . is that what you wanted ?
no , i would like an expensive hotel .
i am not showing any entries here . can i help with anything else ?
try a moderate -ly priced guest house in the north then . with 4 stars
there are 7 entries listed here . do you care about parking and internet ?
no it really does not matter , just whatever is in the moderate price range . i'll need it for 5 nights .",hotel parking,any,
"hi ! can you help me find a mid range price hotel on the south side ?
there are 2 guest houses that fit your criteria . the aylesbray lodge and the bridge guest house . which would you prefer ?
which 1 is the least expensive of the 2 ?
they are both in the moderate price range .
what is the phone number for the aylesbray lodge ?
their phone number is 01223240089 . is there anything else i can do for you ?
yes , i need the guest house to have free internet and parking . can you get me their phone number ?",hotel parking,yes,
"i a , looking for an expensive place to stay on the north side of cambridge .
i am sorry , i haven't found any matches , would you like me to look for something else ?
i am looking for a 4 star hotel and i need free internet and parking .",hotel parking,yes,
i am looking for a hotel with free wifi and parking .,hotel parking,yes,
"i am looking for a cheap hotel in the east .
there are 3 cheap guest houses in the east , each with 4 star rating -s . would you like me to book 1 ?
no , but do any of them have free parking ?",hotel parking,yes,
"hello ! i am looking for a place to stay . i would like to stay in the moderate price range with a rating of 2 stars , if possible .",hotel price range,moderate,
"yes i am looking for a hotel to stay at with free parking please
i have a variety of options located all over town . would you have a preference on the area or maybe a certain price range you prefer ?
no , i really only care that it is 4 stars and an actual hotel .",hotel price range,any,
"can you help me find a place to stay please ?
sure ! do you know what area of town you are staying in ?
i am not sure . i do want an expensive 4 star hotel with free wifi but do not need free parking .",hotel price range,expensive,
"hi , i need a train wednesday that will arrive by 19:45 .
there are many trains that meet that requirement . where are you headed ?
i am headed from cambridge to broxbourne .
when would you like to depart ? you can select any hour between 05:01 and 18:01 .
i do not care about that , you choose for me . can you book me tickets ?
train tr3279 departs cambridge at 9:01 and arrives in broxbourne at 10:01 . would you like me to book you a ticket ?
yes , i need 3 tickets and a reference number , and i would also need a guest house with free parking .
there are 21 guest houses of that type in cambridge . is there an area or price range you would prefer ?
how about a moderate -ly priced 3 star guest house ?",hotel price range,moderate,
"please , i am looking for some entertainment when i visit next week . do you have any suggestions ?
i have dozens , what type would you prefer ?
pick what 1 you like best , and please give me the area and phone number as well as address .
nusha is in the south . they are located at unit g6 , cambridge leisure park , clifton road . their postcode is cb17dy . their phone number is 01223902158 .
i also need help finding a 4 star hotel to stay in while i am there .
what area would you like to stay in ?
i have no preference in regards to area , it just needs to be 4 star , a guest house , and include free wifi
okay , there are many that fit that , what is your price range ?
well , i want it cheap -er than airbnb , so how about $100 a night ?
unfortunately , we do not have such specific price range -s , but our options are divided into 3 categories: cheap , moderate or expensive . which would you prefer ?
any will do just fine , thank you .",hotel price range,any,
"i am looking for a guest house in the east .
can i get a price range you are looking for ?
i need it to be cheap , and it should have free parking .",hotel price range,cheap,
are there any luxurious and expensive place -s to stay in the south section of town ?,hotel price range,expensive,
"hi , i am looking for a hotel with free wifi that is moderate -ly priced .
we offer 3 location -s with those criteria . any preference on area ?
i would like to stay at a guest house in the centre please
i apologize , but we do not have a guest house that fits your criteria . would you like to try a hotel ?
hmm , well that is not good . oh well , how about trying if there is a guest house thats cheap then . i suppose it will have to do .",hotel price range,cheap,
"i am looking for a train to london king cross leaving friday .
okay , when would you like to leave or arrive by ?
i will be coming from cambridge and would like to arrive by 13:30 .
tr1502 leaves at 11:00 and arrives by 11:51 . does that work for you ?
yes . how much will the ticket cost ?
the cost per ticket is 23.60 pounds . would you like to book a seat on this train ?
not yet . i am looking for a place to stay . i would prefer a guest house with 4 stars . can you find 1 ?
there are 18 results , can you be more specific as to what you are looking for ?
are there any in the north , and in a moderate price range ?",hotel price range,moderate,
"i am looking for a guest house in the south of town .
aylesbray lodge guest house is a cheap guest house located in the south .
i would prefer an expensive place , i am trying to impress my in laws .
there are no expensive guest houses in the south area in the expensive price range .
how about 1 in the moderate price range ?",hotel price range,moderate,
"i am looking for a restaurant in the centre serving welsh food .
unfortunately , i do not see any restaurant -s that meet your needs . would you like to broaden your search area ?
sure , i guess so .
i am sorry i am still not finding anything . is there another type of food you would be interested in looking for ?
well , can i get some african food instead ?
the bedouin fits that description . would you like any more information about the restaurant or assistance booking a visit ?
is it in he expensive range ? if it is i would like to book a table for 7 at 1:00 on sunday .
it is expensive , yes . may i ask you to repeat the exact time you would like to book a table for ?
yes , i want to book a table for 19:00 .
i was unable to complete your booking . would you like to try and book for another day or for another time slot ?
yes , can you see if there is a booking available at 18:00 instead ? i will also need to make a hotel reservation in a hotel that offers free wifi .",hotel internet,yes,
"can you give me information about hobsons house , please ?
sure ! hobsons house is a 3 star guest house located in the west . it has a moderate price range . would like to book a room ?
is internet provided ?",hotel internet,yes,
"i would like to find high end restaurant in the center of cambridge .
i have a lot of choices for you . any preference on cuisine ?
chinese would be great . i would prefer it be in the centre .
there are 4 that match your criteria . i just love the ugly duckling , would you like to reserve a table there , or keep looking ?
can i get a reservation for 7 at 14:00 this coming friday ? please get me a reference number too , i have had trouble in the past with lost reservations .
i have successfully booked your reservation at the ugly duckling for a party of 7 on friday at 14:00 . your reference number is ynceb914 . will this be all ?
i also need a place to stay . a guest house with wifi would be great .",hotel internet,yes,
i want to find a 4 star hotel that has free internet .,hotel internet,yes,
"hello , i looking for a restaurant called golden house
the golden house is a chinese restaurant at 12 lensfield road city centre . would you like their phone number ?
i would like to know the food type and price range of the restaurant please .
the golden house serves chinese cuisine and the price range is cheap . would you like me to place a reservation for you ?
please let me think about it , in the meantime , can you tell me what guest houses include free parking ?
there are 21 guest houses that include free parking , did you have an area or price range in mind ?
yes . i would like it to be in the moderate price range . also , i would prefer free wifi .",hotel internet,yes,
"i am looking for attractions in the north , please .
i have a couple of swimming pools , a boat area , and a park that fit your description . do you want any more information on any of these 3 ?
yes i would like the postcode of a swimming pool you recommend .
there are 2 swimming pools but i will recommend the jesus green outdoor pool to you . the zip code is cb43px . is there another thing i can help you with ?
yes , i need a place to stay with free wifi and in the north as well .",hotel internet,yes,
"i am looking for a place to go in the centre of town .
great , i have many place -s for you to go in the centre . what type of attraction are you looking for ?
i would like a college please can you send me some info ?
sure . how about christ s college ? it is located at saint andrew s street and is free .
yes , that s fine . can you give me the phone number , entrance fee , and postcode ? thanks .
the entrance fee is free . the phone number is 01223334900 . the postcode is cb23bu . is there anything else i can assist you with today ?
i am also looking for a place to stay . it should be a guest house in the same area and include free wifi . it does not need to have free parking .",hotel internet,yes,
"i am looking for a hotel . i want it to have free wifi , but parking does not need to be free .",hotel internet,yes,
"i need to find a guest house with a 0 star rating .
i have 2 available . i have el shaddai which is located in the centre of town . and i also have city centre north b & b located in the north .
do they have free parking and wifi ?",hotel internet,yes,
"need a hotel , north side of town , and i want free wifi please .",hotel internet,yes,
"hello , i am looking for a place to stay that include -s free wifi . i would also prefer it to be in a guest house
there are a number of options in cambridge . what area would you prefer to stay in ? price range ?
the area is not too important . but i would like something expensive .
unfortunately i cannot find any that are expensive . let s try a different price range .
moderate -ly priced would be fine .
how about the archway house ? it s a 4 star moderate -ly priced guest house with both free wifi and parking . would you like to book a room ?
yes , can you book that for 7 people on saturday ?",hotel book people,7,
"i need lodgings with free parking .
sure thing , do you have an area you are looking to stay at ?
i need a hotel , and do not need internet , but do need free parking . a 4 star and in the north will do .
i would suggest kirkwood house on 172 chesterton road . would you like me to book a room ?
i do not need a reservation but i need location and phone number of the hotel .
kirkwood house is in the north part of town at 172 chesterton road , their phone number is 01223306283 . do you need anything else ?
actually yes , i apologize my wife just told me she wants us to book for 7 people and 5 nights starting monday . can you help with that ?",hotel book people,7,
"i am looking for a hotel with free wifi and parking .
there are 29 hotel -s that meet that criteria . are you looking for a hotel in a specific part of town ?
i do not but i would like for it to be 4 stars .
how about the acorn guest house ? it is 4 stars , has free internet and parking , and is moderate -ly priced .
that would be fine , can you book ig for 5 people , 3 nights , starting sunday ?",hotel book people,5,
"i am looking for more information on arbury lodge guest house .
the arbury lodge guest house is a 4 star hotel in the north area at a moderate price range and include -s internet and parking . would you like me to book it ?
yes , please . for 3 people , 3 nights starting on tuesday .",hotel book people,3,
"can you help me find a train leaving cambridge , to arrive by 12:00 ?
where is your destination ?
i am going to ely .
on what day will you be travelling ?
actually , i need to go birmingham new street and will be traveling on friday .
i have train tr3732 arriving at 11:44 that is the closest i have to 12:00 .
that is perfect . can you book 1 seat for me please ?
your booking was successful , the total fee is 75.09 gbp payable at the station . reference number is : 2j0km65o . can i help with anything else ?
i need to find a room in the north as well .
do you have a specific price range or would you like the acorn guest house ?
that guest house is fine .
great , would you like me to book it ? what day will you be arriving , how many nights will you stay and how many people will be staying ?
actually , does the acorn guest house provide free parking ?
yes , there is free parking . could i book it for you ?
yes please book that for 4 nights starting from monday .
and how many people will be staying there ?
1 person will be staying .",hotel book people,1,
"do you have any information on the university arms hotel ? i have heard it s a nice place .
i sure do . the university arms hotel is a more expensive hotel in the centre of town . it has 4 stars and include -s free wifi and free parking .
i need a room for 1 person starting sunday for 3 nights",hotel book people,1,
"i looking for information about a hotel in the moderate price range that include -s free wifi .
there is acorn guest house available in the moderate price range with free wifi
what is the star rating of the acorn guest house ?
we have many selections . there is also archway house in that price range with free wifi . would you like me to book a loaction for you ?
sorry , the hotel i am looking for also needs to be in the south area and have a 4 star rating . could you suggest anything that fills those requirement -s too ?
aylesbray lodge guest house meets all of your requirement -s . are you okay with the hotel type being a guest house ?
yep sure , why not ?
i can book this for you if you provide the day you want to stay , the duration of the stay and the number of people .
4 people for 2 nights starting sunday , please !",hotel book people,4,
"i am looking for a place to stay in cambridge . i am wanting it to have free parking and 4 stars .
there are 19 options that meet your criteria . let s narrow it down a bit . what part of town would you like to stay in ?
it does not matter , but i would like something with free wifi .
alexander bed and breakfast is in town centre , cheap -ly priced with a 4 star rating . it also offers free parking and wifi . would you like to book a room ?
yes , i need to create a booking for 5 people . we will be staying for 5 nights starting from thursday .",hotel book people,5,
"i want a place to stay in the moderate price range .
okay , were you looking for a hotel or a guest house ?
i am interested in a guest house on the east side please .
there are 3 guest houses on the east side . would like 1 with free parking ?
yes , free parking would be helpful . please book me a room for 4 guests , for 4 nights . i will be arriving on friday . may i have the reference number ?",hotel book people,4,
"i am looking to try new restaurant -s in the cambridge area , specifically a place called j restaurant .
i have found the place you are looking for . it is located at 86 regent street city centre , would you like me to book a reservation ?
could you tell me what type of food they serve and their postcode ?
j restaurant serves asian oriental food and their post code is cb21dp .
i am also looking to stay at a hotel called finches bed and breakfast .
i have found that . it s a cheap , 4 star guest house in the west . they offer free internet and parking . would you like me to book this accommodation for you ?
yes , please book it for 8 people for 5 nights starting monday . could you send me the reference number once it is booked ?",hotel book people,8,
"hello , i am looking for information on the alpha milton guest house .
alpha milton guest house is in the north part of town , in the moderate price range , 3 stars rated , and has no internet or parking
can you make a reservation for me for 8 people for 5 nights starting on thursday .",hotel book stay,5,
"i need help finding a chinese restaurant located near the centre .
there are 10 chinese restaurant -s in the centre . is there a price range you would like to stay within ?
not really . can you recommend 1 ? i'll need the contact information .
jinling noodle bar is at 11 peas hill city centre . there phone number is 01223566188 . would you like me to book you there ?
great i also need some information on the lensfield hotel
the lensfield hotel is an expensive 3 star hotel located in the south withe free wifi and parking . the phone number is 01223355017 and the address is 5357 lensfield road . anything else ?
can you book it for me for monday for 3 nights ?",hotel book stay,3,
"i need a 4 star hotel on the north side .
i have 7 moderate -ly priced properties in the north with 4 stars , and 1 cheap 1 . do you have a preference for price ?
is there anything in the expensive price range ?
no , i am sorry , there is not .
how about just moderate ?
yes , there are 7 properties fitting that description and they are all guest houses . would you like to book 1 ?
yes , which 1 do you suggest ?
avalon is my favorite . when do you want to stay ?
can you book it for 4 people and 4 nights starting from saturday ?",hotel book stay,4,
"i am looking for a train that is going to birmingham new street and leaves after 17:15 .
there s a train on that route every day departing at 18:01 that ought to work for you . do you know what day you will be travelling ?
i will be traveling on friday .
where will your departure site be ?
i will be leaving from cambridge . i will need 4 seats .
great i booked you 4 seats on that train and your reference number is hi8ojsim .
i also need to get a place to stay that is in the moderate price range and have 3 stars .
sure , there are a few guest houses available . which part of town would you like to stay in ?
west part of town . thanks
it looks like there is a 3 star guest house in the area named hobsons house . how does that sound ?
that sounds perfect please book for the same group of people for 2 nights starting on wednesday .",hotel book stay,2,
"i am looking for a place to stay that include -s free parking and free wifi .
i can certainly help you with that . what area would you like to stay in and what price range did you have in mind ?
actually i want a guest house , specifically
sure , i can help you with that . what part of town were you looking for ?
any part of town just a guest house with free parking and free wifi .
i would recommend acorn guest house . would you like a reservation ?
yes , please . can you book a room for sunday for 5 people , 2 nights please ?",hotel book stay,2,
"i would like to find a place to stay that has wifi , i am not a fan of this new guest house trend , so a regular hotel please .
i prefer hotel -s also . what part of town did you have in mind ?
i would like a hotel in the north .
i have found 22 star hotel -s , both moderate -ly priced , and both with internet and parking . you can choose between the ashley hotel , and the lovell lodge . which would you prefer ?
2 stars is too pedestrian for me . i have sophisticated tastes so something around 4 stars would be better .
we have no 4 star hotel -s in the north , would you like to try another area , or maybe a guest house ?
let s try a guest house with those qualifications instead please .
acorn guest house would suit your needs . would you like me to book it for you ?
book it for 3 people and 2 nights starting from thursday .",hotel book stay,2,
"could you help me find a guest house on the west side ?
there are 2 guest houses on the west side , 1 cheap and 1 moderate -ly priced .
does either of those offer free parking ?
actually , they both offer free wifi and free parking . finches b & b is cheap -er , and the hobsons house is more moderate -ly priced . which do you prefer ?
let s go with finches . can you book me a room for 2 people on saturday ? we'd like to stat for 4 nights .",hotel book stay,4,
"i am looking for a cheap place to stay with free wifi .
i have got 9 guest houses and 1 hotel that match your criteria . would you like to narrow down by star rating or area of town ?
yeah , i would like it to be in the east area of town , if you can .
i have 3 results all in the cheap range . the names are allenbell , autumn house , and leverton house . how else may i help ?
okay , book me into 1 of those starting sunday . there will be 8 of us staying 5 nights .",hotel book stay,5,
"can you help me find a restaurant ? i want somewhere expensive .
there are 57 results . is there a certain type of food or area you would like ?
north american , i would would like to eat in the centre area ?
the gourmet burger kitchen would be perfect for you ! it s at regent street city centre . would you like more information ?
yes , i would like to get a table for 6 at 11:45 on sunday . could you book that for me ?
booking was successful . reference number is: dkcswx6p .
can you also help me find a hotel called the acorn guest house ?
the acorn guest house is located in the north , it is in the moderate price range and has 4 stars . i would be pleased to help you book your stay .
thank you ! i would like to book a room starting on sunday . i'll need it for 5 nights and 6 people .",hotel book stay,5,
"i am looking for a cheap place to stay with free wifi .
we have 10 possibilities for you . do you have any additional preferences ?
yes , i am looking for a hotel with a 2 star rating .
i do not have anything with 2 stars , free wifi , and in the cheap range . would you like to try a different number of stars ?
let s try something in the moderate price range with 2 stars and free wifi please .
i have 2 options in the moderate price range . the ashley house and lovell lodge . would you like to try 1 of these ?
lets try the ashley house please .
when will your stay be ?
we'll arrive on wednesday and stay 3 nights . there will be 2 of us .",hotel book stay,3,
"im looking for a guest house that include -s free wifi .
i have the a and b guest house . do you want to book it ?
i am looking for a moderate -ly priced place in the west .
ok , there is the hobson s house in the west of town . it s got 3 stars and is moderate -ly priced with free wifi . would you like to start a booking ?
i heard of that place from a friend , not sure if i like that 1 . . but it would be for just me for 2 nights starting sunday .
that is the only moderate -ly priced 1 in that area . did you have something else in mind or would you like to make a reservation for this 1 ?
yes , please make a reservation .",hotel name,hobsons house,
"i am looking for a hotel with a 3 star rating and a cheap price
i am sorry , but there are no hotel -s that match your criteria . would you like to change your price range or stars requirement ?
do you have a guest house that meets my requirement -s ?
unfortunately no . is there another type of hotel you are interested in ?
i would like a guest house that meets all my previous criteria , except now i want 1 in the moderate price range and it does not need to include internet .
i found the alpha milton guest house in the north side . would you like to book a room ?
not yet . but i would like their telephone number .",hotel name,alpha milton guest house,
"i am looking for a train the departs from bishops stortford leaving after 18:30 .
i would need a little more information first , what day would you like to travel and where are you going to ?
im going to cambridge on thursday
we have tr0060 . this departs bishops stortford at 19:29 and arrives at cambridge at 20:07 . the tickets are 10.10 pounds . does this work for you ?
yes , that would be fine . i'll need to book 2 tickets , please .
booking was successful , the total fee is 20.2 gbp payable at the station . reference number is : 0i49nw98 . can i help you with anything else today ?
yes . i am looking for a hotel called carolina bed and breakfast .",hotel name,carolina bed and breakfast,
"hi , i would like information on a particular hotel called the kirkwood house .",hotel name,kirkwood house,
"i would like to try some chinese food while i am visiting cambridge .
there are 17 different chinese restaurant -s . is there a specific price range or area of town you would like to stay in ?
moderate -ly priced in the centre . i need a reservation for 4 at 13:45 on wednesday and the reference number as well .
your reservation at jinling noodle bar on wednesday at 13:45 for 4 people is successful . your reference number is : uvpkoa8z .
thanks a lot . can you tell me a little about a hotel called home from home ?",hotel name,home from home,
"hi there ! can you recommend a great museum in the center of town ?
there are many options and they are all free . do you have a preference between art and history ?
how about art , and please include the entrance fee .
i would suggest cambridge contemporary art , it has free entrance . do you need help with anything else ?
yes i could use the address please .
yes the address is 6 trinity street .
thank you , i would like a reservation , please .
what kind of food would you like today ?
i am not interested in food , thanks , but i would like help finding a 4 star guest house .
the a and b guest house is 4 stars . would you like more information on it ?
i want somewhere moderate -ly priced with free parking .
the acorn guest house does match all of your requirement -s , would you like to book there ?
sure . i want it for 7 people . we'll arrive thursday and stay 4 nights . do not forget to tell me the reference number",hotel name,acorn guest house,
"i need help finding a chinese restaurant located near the centre .
there are 10 chinese restaurant -s in the centre . is there a price range you would like to stay within ?
not really . can you recommend 1 ? i'll need the contact information .
jinling noodle bar is at 11 peas hill city centre . there phone number is 01223566188 . would you like me to book you there ?
great i also need some information on the lensfield hotel",hotel name,lensfield hotel,
