context,slot,gold,pred,label
"hi , i am looking for a train from cambridge please .
where are you traveling to ?
i am leaving from cambridge going to london kings cross .
i have several trains available . what day would like to leave and what are your preferred arrival and departure times ?
i would like to leave on sunday and leave after 19:45 .
i have a train that leaves at 21:00 and arrives at 21:51 . would you like me to book this for you ?
sure , please book that for me , thanks . oh , and i am also looking for place -s in town to visit , particularly theatre venue -s .
how many tickets did you need for the booking ?
1 should be fine . also find me a theatre . i need the area , postcode , and phone number
booking was successful , the total fee is 18.88 gbp payable at the station . reference number is : 9usr2rcx . where would you like the theater to be ?
it depends on what theatre you recommend .",attraction area,any,,
"i am looking for a train to cambridge .
what day will you be traveling ?
i would like to leave on friday .
okay i have several . what time are you leaving , and how many tickets would you like ?
i am leaving thurtsday at 2pm and need 3 tickets
i have the tr5502 that leaves at 3:17pm . would that work for you ?
actually , i never told you where i was leaving from . i need the train to depart from kings lynn .
tr2162 leaves at 14:11 . want to book it ?
yes please , 7 people . and i would like the reference number please .",train leave at,14:00,02:00,
"what is the address for pizza hut in cherry hinton ?
the address is g4 cambridge leisure park clifton way cherry hinton .
i need to reserve a table there .
ok , let s start with which day you would like to have this reservation ?
book a table for 8 people at 17:15 on sunday .
okay , i will work on getting that booked and get back with you shortly .
i am in a hurry , this is odd . hello ? can anyone help me ? can i speak with your supervisor ?
i was able to book that , reference number is iu1whv35
thanks . i would also like a multiple sports attractions in the centre .
there are unfortunately no multiple sports attractions in the centre . would you like me to search other area -s for the multiple sports attraction ?
no problem , how about a nightclub ?
absolutely . there are 5 nightclubs located in the centre . all of them have an entrance fee of 5 pounds . would you like a recommendation ?
that will be great .
i personally like ballare , they are very contemporaneity
can i get their phone number and postcode please ?
sure ! their phone number is 01223364222 and the postcode is cb23na .
i also need a taxi to commute between the 2 place -s .
i booked a taxi to pick you up at 7 pm , it s going to be a blue volkswagen , the contact number is 07620098271 .
i thought you already booked it ? i am confused .
your taxi is booked .",restaurant name,pizza hut cherry hinton,pizza hut,
"i am looking for an expensive restaurant that serves gastropub type food .
there are 3 restaurant -s that fit your criteria , royal standard , the slug and lettuce and backstreet bistro . are you interested in any of these ?
are any of these in the east part of town ?
yes , the royal standard is in the east . i would be happy to book a table for you if you can tell me the day , time , and number of people .
i want to book a table for 4 people at 16:00 on friday .",restaurant name,royal standard,,
"i am looking for a train to cambridge .
what day will you be traveling ?
i would like to leave on friday .
okay i have several . what time are you leaving , and how many tickets would you like ?
i am leaving thurtsday at 2pm and need 3 tickets
i have the tr5502 that leaves at 3:17pm . would that work for you ?
actually , i never told you where i was leaving from . i need the train to depart from kings lynn .",train leave at,14:00,02:00,
"i am looking for a brazliian restaurant in the centre .
sorry , i could not find any food of that type .
there are no brazilian restaurant -s any where in cambridge ?
no , their are not any . would you like to pick a different type of food ?
yes , what about british food please .
what price range are you comfortable with ?
something in the moderate price range would be good .
do you have a preference as to what area of town you dine in ?
yes , the centre is preferable .
how about the copper kettle ? it s located in the centre and moderate price range .
sounds good ! please book a table for 6 people at 13:00 on monday .
your table has been booked . your reference number is s59ihpui . is there anything else i can help you with today ?",restaurant food,british,brazilian,
"i am coming to cambridge to try some good food , but would like to find a place to go in the centre area .",restaurant area,,centre,
"i am looking for all saints church in cambridge
all saints church is in the centre area on jesus lane . it is free to visit . would you like more information ?
address and entrance fee please ?
the church is at jesus lane postal code cb58bs and the admission is free . is there anything else i can help you with ?
thank you ! i am also looking for the warkworth house hotel .
do you want to make a reservation there ?
i do not know yet , what is it s star rating and postcode ?
warkworth house has a 4 star rating . their post code is cb11ee
i also need to book a taxi to get to the attraction by 3:30 and i will need the contact number and car type .
okay , i got a white lexus with a contact number of 07515585036 , that'll take you to the church .
thanks for your help !",taxi arrive by,03:30,15:30,
"hi , i am looking for a restaurant suggestion in cambridge .
what type of food and price range would you be interested in ?
i would like some chinese food , please !
i can definitely help you with that . what price range were you looking for ?
i want something expensive .
what area do you want the restaurant to be in ?
in the centre of town , if possible .
sesame restaurant and bar is located in17 hills road city centre . can i give you the phon number ?
yes , i would like the phone number . i also need a train on monday to cambridge from birmingham new street . i would like to leave after 13:15 .
here is the phone number 01223358899 . is there any particular time you would like to arrive by ?
any time will do , as long as it leaves after 13:15 .
tr1328 leaves birmingham new street on monday at 13:40 and arrives in cambridge at 16:23 . will that work for you ?
is there any that leave earlier than 13:40 ?
the earliest train after 13:15 is the 1 leaving at 13:40 .
ok great and what is the arrival time ?",train departure,,birmingham new street,
"please find a restaurant called nusha .
i do not seem to be finding anything called nusha . what type of food does the restaurant serve ?
i am not sure of the type of food but could you please check again and see if you can find it ? thank you .
could you double check that you've spelled the name correctly ? the closest i can find is nandos .
it s not a restaurant , it s an attraction . nusha .
oh its okay . that is an entertainment type located in the south at unit g6 , cambridge leisure park , clifton road . do you need their phone number ?
no , but please confirm their address again and their postcode .
their address is unit g6 , cambridge leisure park , clifton road . the postcode is cb17dy . is their anything else i can do for you ?
i want indian food in the center area .
there are 9 indian restaurant -s in centre what price range do you want ?
i am looking for expensive indian food .
saffron brasserie is an expensive restaurant that serves italian food
can i get the address for saffron brasserie ?
the address is hills road city centre
can i clarify that it was indian food and not italian food please ?
yes , saffron brasserie is indian food .
thank you that is all the information i need at the moment .
i hope i have been of help
you have . thank you . goodbye .",restaurant name,saffron brasserie,nusha,
"are there any italian restaurant -s in the city centre ?
there are quite a few italian restaurant -s in the centre . would you like something cheap , moderate -ly priced , or more expensive ?
i would like something in the cheap range and i need the address and phone number
sure , how about pizza hut city centre ? it s at regent street city centre cb21ab and can be reached at 01223323737 . may i help with anything else ?
yes , please . i would like information about the ashley hotel .
the ashley hotel is in the north part of town . it is a moderate -ly priced 2 star hotel with internet service and parking . would you like to make a reservation ?
yes , 3 people , 5 nights starting from wednesday . reference number please .
booking was successful . reference number is kjggrh7e .
thanks . i would like to get a taxi as well leaving the restaurant by 08:15 . can i get the contact number and the car type for that please ?",taxi departure,pizza hut city centre,,
"i need to find a guest house in the north .
i have about 11 different options . do you have a preference on price range ?
i would prefer that be expensive .
there are no expensive guest houses however i do see moderate ones . would you like to try 1 of those ?
yes , but needs to be a 4 star in the north
ok , there are 7 options . would you like free internet or parking ?
does not matter . book 1 of them for myself and 3 nights starting from wednesday .
booking at the acorn guest house was successful , the reference number is o4bo1b0l . it is located at 154 chesterton road , postal code cb41da . is there anything else i can help with ?
yes , can you help me find a train ?
i can . all i need is your departure location , destination , day and when you would like to either leave or arrive by .
i will be leaving birmingham new street the same day as my hotel booking .
booking was successful , the total fee is 75.09 gbp payable at the station . reference number is : qrzk7y5s .
wow . you did not even get the timeframe i am looking for . i cannot leave until after 14:30 .",hotel book people,1,4,
"i am looking for a hotel with at least a 3 star rating .
we have 6 hotel -s and guest houses that have 3 star rating -s . is there a particular part of town , or a particular price range that you are interested in ?
i am not to worried about price but the hotel needs to have free wifi .
the gonville hotel is in the centre and the lensfield hotel is in the south . they both have free wifi . would you like me to book 1 for you ?",hotel type,hotel,,
"please find a restaurant in the north that serves unusual food .
i apologize , we do not have any restaurant -s that serve unusual food in the north .
no thank you that will be all
can i help you find a different type of food ?
how about a chinese restaurant ?
there are 3 chinese food restaurant -s in the north side of town . 2 are expensive and the other is moderate -ly priced . do you need more information ?
can you recommend 1 of those ?
i would recommend the hotpot . would you like a reservation or more information ?
yes could you give me their postcode ?
the postcode for the hotpot is cb41ep . would you like a reservation ?
what price range is that in ?
it s in the expensive price range . is there anything else i can help you with ?",restaurant name,the hotpot,,
"i am looking for a cinema in cambridge .
we have 2 cinemas: cineworld in the south , and vue in the center of town .
that s great , thank you for your help !
would you prefer something in the center of town , or in the south ?
any area is fine . i am also looking for a restaurant in the centre that serves spanish food .
there are 2 restaurant -s that fit your criteria . is there a price range you are looking for ?
i would like something that is on the cheap -er side .
sure , la raza is spanish food and is cheap . would you like to book a table ?
yes , i would like a table for 8 at 11:15 on sunday .
booking was successful . the table will be reserved for 15 minutes . reference number is : n9pfyzml . can i help you with anything else ?
yes i need a taxi between cinema and restaurant . what do you recommend ?
i need more information to book that taxi . first , which cinema did you decide to visit ?
i suppose the 1 in the centre makes more sense , since it s close to the restaurant .
so , you need a taxi between vue cinema , and la raza ?
yes , that would be great . i need to make it to the restaurant by 11:15 .
ok , a red volvo should be coming to pick you up and the vue cinema , contact number is 07177417862 . can i help you with anything else ?",taxi departure,vue cinema,cineworld cinema,
"i am looking for things to do in the west .
there are many options available in the west , what types of attractions interest you ?
a museum perhaps ?
i would recommend the cafe jello gallery . their phone number is 01223312112 . can i help you with anything else ?
sounds quite interesting . can i get their address please ?
yes the address is cafe jello gallery , 13 magdalene street , postcode cb30af , admission is free so best price of all .
thanks ! i am also looking for a place to stay with 2 stars .
i have 3 hotel -s that meet that criteria , 2 moderate -ly priced in the north , and 1 expensive in the east . which do you prefer ?
i am looking specifically for a guest house , and 1 that has free parking . i am renting a car to sightsee .
there are no guest houses with free parking
do any of them have parking ?
arbury lodge guest house has parking , its a 4 star and in the moderate price range
no , i would like a 2 star hotel instead . any recommendations ?
i found 32 star hotel -s with parking . 2 of them have a moderate price range , while the other is expensive . does this help narrow it down ?
i'll take the expensive 1 . what s the name and can i get their phone number please ?
express by holiday inn cambridge and their number is 01223866800 . would you like me to make a reservation for you ?
i assume they have internet , right ?
yes , they do have wifi available .
yes , please and i would also like a taxi between the 2 location -s .
how many people will be staying and how long will you be staying ?",hotel internet,yes,,
"what kind of attraction are there here ?
there are many attractions around cambridge depending on what you are looking for . do you have a specific area of town in mind ?
actually , i am interested in a restaurant called rice house .
yes the rice house is cheap and located in the center and their telephone number is 01223367755 . they serve chinese food .
great . can you reserve a table for 7 on friday at 13:30 ?
yes , i can take of that reservation for you .
thank you . i'll need a reference number , please ?
booking was successful . the table will be reserved for 15 minutes . reference number is : of78tyxx . anything else ?
i am looking for a place called the man on the moon , can you give me their phone number and postcode please",attraction name,the man on the moon,none,
"i am looking for a place in cambridge . it does not need to include internet and should be a hotel .
i was not able to find a hotel type with no internet , but there are hotel -s with internet .
okay , that would be fine , as long as it has free parking .
okay , do you have any preference on price range ?
no . how many are available ?
there are 8 different hotel -s around the city with free parking . do you have a preference for city area or star rating ?
it does not matter to me which part of the city it s in or it s rating . in your opinion , which 1 would be best for a short 3 day stay ?
it s hard to say . how about the ashley hotel in the norht part of town ?
is there room for 4 people on monday ?
unfortunately i cannot book that day and time . would you like to change the day or try a different hotel ?
can i try a different hotel ?
how about the express by holiday inn and cambridge , a 2 star , or huntingdon marriott hotel , a 4 star ?
do either of those include free parking ?
yes , they both have free parking , and internet as well . the marriott is in the west , and holiday inn in the east . does area of the city matter to you ?
no , that does not matter , as long as i can book a 3 night stay for 4 people on monday .
i was not able to book at either location , can i try something else ?
what else is available ?
ashley hotel is available , can i provide you more information on it ?
we can try and book that 1 as long as free parking . 4 people for 3 nights .
the only hotel available is university arms hotel . you are booked and the reference number is yjjttq9x . it comes with parking and internet and is in the centre .
thank you . i also need a train from cambridge on thursday .
sure . where are you headed to and what time would you like to leave cambridge ?",hotel type,hotel,any,
"can you help me find a train leaving thursday departing from london liverpool street ?
i have 10 trains leaving at this day and time with cambridge as the destination . what will your approximate departure time be ?
i do not have a preference but i do need to be in cambridge by 15:00 .
the tr1268 will get you there by 13:07 , how many tickets ?
what is the price of the ticket and departure time ?
the departure time is 11:39 and the cost will be 16.60 pounds .
thanks . i also need to find a guest house with free wifi .
i can also assist you with finding a guest house . does the train fit your needs and would you like to book tickets for that ?
no tickets for the train . i would like a guest house in the east that is expensive , please .
i do not have any expensive guest houses in the east offering free wifi .
how about in the cheap price range instead ?",train leave at,any,,
"i am looking for information on cambridge university botanic gardens .
they are on bateman st , postal code cb21jf , they can be reach at 01223336265 , the entrance fee is 4 pounds , can i help with anything else ?
yes can you help me find a restaurant ?
the botanic gardens are in the centre . would you like the restaurant to also be in the center ? do you have any type of cuisine in mind ?
never mind , i will worry about food later . i am actually looking for a hotel with a guest house and free parking would be great as well .
there are 21 guest houses with free parking , do you have a price or area preference ?
cheap and in the south please .
i found a guest house listing for rosa s bed and breakfast in the south . would you like more information ?
i really need a hotel in the west please .
i have 1 hotel in the west . the cambridge belfry is cheap with 4 stars . it offers free parking and wifi . do you need a room ?",hotel type,hotel,guest house,
"hi , i am trying to plan a trip and need some help with a train . i am not familiar with trains at all unfortunately .
do not worry , i should be able to help you . do you know which station you will be leaving from or going to ?
i am departing from leicester and i need to leave on friday . thank you for helping !
what is your destination ?
i am going to cambridge .
is there a time you would like to arrive by ?
11 pm and i want it for 3 people
tr6539 will arrive by 22:54 . booking was successful , the total fee is 113.4 gbp payable at the station . your reference number is ie5rk2ig . do you need anything else ?
i also need a place to stay .
we have many great place -s to stay . what area would you like and do you have a price range ?",train arrive by,23:00,11:00,
"i am looking for a moderate -ly priced place to dine in the centre of cambridge
is there any specific type of food you are wanting ?
i would like a polynesian restaurant , please .
unfortunately there are no polynesian restaurant -s located in cambridge , were you wanting any other type of food ?
are there any turkish restaurant -s ?
i have 2 turkish restaurant -s in the centre , both are moderate -ly priced . anatolia and efes restaurant , would you like to book at either 1 of them ?
could you tell me more about their location -s ? do they offer free parking ? how far are each of them from my hotel ?
1 is at 30 bridge street city centre , and the other is at king street city centre
please book the 1 at 30 bridge street . can you also give me the postcode and phone number ?
that would be the anatolia restaurant . the postcode is cb21uj , phone 01223362372 . how many are in your party and what day would you like the reservation ?
i'll be dining saturday at 7 pm , there are 3 in my party . also , i need to know if there are any trains leaving sunday going to peterborough .
yes , there are plenty of trains leaving cambridge going to peterborough . what time would you like to leave or arrive ?
i would like to leave after 8:30 on sunday .
train tr8821 departs cambridge at 08:34 , the cost is 13.2 pounds . should i book it for you ?
real quickly , what is the travel time ?
the travel time is 50 minutes . may i help you with anything else ?
no , that was all the information i needed . thank you very much .",train destination,,peterborough,
"i am looking for a hotel in the north .
we have 2 hotel -s in the north , and 11 guest houses . do you have a preference ?
i want 1 of the hotel -s in the moderate price range please .
both of the hotel -s that i found are in the moderate price range . would you like for me to book 1 for you ?
which 1 of them has free parking ?
fortunately for you , they both offer free parking . the ashley hotel and the lovell lodge are both available for you . would you like to make reservations at 1 ?
no , no thank you . i just needed some info for a later date . i am also wanting to see if you can tell me about the river bar steakhouse and grill .
yes , the river bar steakhouse and grill has modern european food and is inexpensive . it is in the centre .
can you book it for me and get a reference number ?
can you give me a day and time you wanna go ? and also the number of people ?",hotel parking,yes,,
"i am trying to find an expensive restaurant in the centre part of town .
the cambridge chop house is an good expensive restaurant in the centre of town . would you like me to book it for you ?
yes , a table for 1 at 16:15 on sunday . i need the reference number .
great your reference number is nklsht8g
could you help me find a train to cambridge from leicester please ?
what day would you like me to book your train for ?
i am leaving on sunday and i need to arrive by 12:45 in leicester .
i have 6 trains leaving hourly at 9 minutes past the hour between 05:09 and 10:09 . would you like to book 1 of these ?
can you give me the train id of the 1 departing at 10:09 ?
the number is tr1744 .
ok , great . could you just confirm that departure time ?
the train will depart at 10:09 .
thanks , that is all i need . have a nice day .",train destination,cambridge,leicester,
