domain,exclude
Arbitrator talks to both parties in order to resolve a dispute.,0
Club member talks to club chair to give an idea for fundraiser,0
Nanny talks to child in order to provide childcare services,0
Cosplayer talks to fellow cosplayer in order to show off their costume,0
Worker talks to co-worker in order to share information about a project.,0
Shoe salesman talks to customer in order to assist with shoe selection.,0
Florist talks to customer in order to design a floral arrangement,0
Principal talks to teacher in order to manage curriculum and student progress,0
Politician talks to voter in order to campaign for election.,0
Employee talks to boss in order to ask for an increase in pay.,0
Groundskeeper talks to resident in order to discuss lawn care needs,0
Dog owner talks to dog walker in order to give instructions for the walk.,0
Umpire talks to team captains in order to start a game,0
Job candidate talks to potential employer in order to negotiate salary.,0
Marketing manager talks to internal team in order to plan a trade show exhibit,0
App store developer talks to client in order to create an app for their business,0
Golfer talks to caddy in order to choose clubs,0
Teacher talks to co-teacher in order to coordinate lesson plans.,0
Clothing store employee talks to customer in order to help them find the right size,0
Boss talks to executive to make a decision,0
Firefighter talks to comrade in order to coordinate firefighting efforts,0
Event coordinator talks to sponsor in order to secure funding for an event,0
Choir member talks to conductor in order to rehearse for a performance.,0
CEO talks to shareholders in order to present financial reports,0
Employee talks to co-worker in order to request a favor.,0
Employee talks to union representative in order to address a workplace issue.,0
Client talks to marketer in order to develop advertising campaign.,0
Waiter talks to chef to modify an order,0
Presenter talks to Q&A panelists to ask a question on behalf of the audience,0
Contractor talks to client in order to discuss project details,0
Coach talks to referee in order to contest a call,0
Flight attendant talks to pilot in order to discuss flight procedures.,0
Employee talks to co-worker in order to ask for feedback on a presentation.,0
Architect talks to client in order to design and plan buildings and structures,0
Health enthusiast talks to personal trainer in order to work on fitness goals.,0
Football referee talks to team captains in order to explain game rules,0
Salesperson talks to customer in order to explain product features and benefits and close a sale,0
Retail employee talks to loss prevention in order to report theft,0
Musician talks to bandmate in order to practice and perform together,0
Animal lover talks to breeder in order to select a pet,0
Cosmetologist talks to client in order to apply makeup.,0
Masonry worker talks to supervisor in order to receive instructions for building a structure.,0
Patient talks to dentist in order to get a teeth cleaning.,0
Family member talks to another family member in order to discuss family matters,0
Costume designer talks to director in order to design and create costumes for film and theatre productions,0
Magician talks to audience member in order to perform a trick.,0
Wedding planner talks to vendor in order to coordinate wedding details,0
Artist talks to buyer in order to negotiate the sale of their artwork,0
Editor talks to writer in order to discuss upcoming assignments.,0
Sewing instructor talks to student in order to provide sewing lessons,0
Passenger talks to TSA agent in order to go through airport security,0
Coach talks to opponent coach in order to schedule a game.,0
Auction host talks to attendees in order to bid on items,0
Client talks to public relations manager in order to address press-related issues.,0
CEO talks to public relations specialist about company branding.,0
Job applicant talks to receptionist in order to check in for an interview,0
Wedding blogger talks to bride and groom in order to provide wedding tips,0
Employee talks to colleague in order to brainstorm new ideas for the company.,0
Notary talks to client in order to witness signatures,0
Homeowner talks to insurance agent in order to file a claim,0
Parent talks to tutor in order to set up tutoring sessions for their child.,0
Politician talks to constituents in order to address their concerns,0
Real estate agent talks to appraiser in order to determine a property's value,0
Customer talks to insurance agent in order to sign up for insurance.,0
Speaker talks to event planner in order to coordinate logistics,0
Passenger talks to gate agent in order to check in for a flight,0
Ghostwriter talks to author in order to write a book,0
Gamer talks to fellow gamer in order to coordinate strategy.,0
Employee talks to HR representative in order to update personal information,0
Journalist talks to editor to pitch a story,0
Social activist talks to community members in order to raise awareness and advocate for social justice causes.,0
Coach talks to scout to review an opposing team,0
Stage performer talks to producer in order to discuss a performance schedule.,0
Customer talks to sommelier in order to select a wine,0
Entrepreneur talks to business partner in order to discuss company growth strategies,0
Chef talks to farmer in order to purchase ingredients,0
Passenger talks to flight attendant in order to request a drink,0
Job seeker talks to resume writer in order to improve their resume,0
Personal finance coach talks to client in order to advise on money budgeting.,0
Customer talks to representative in order to cancel a subscription.,0
Nursing home worker talks to elderly resident in order to provide care,0
Salesperson talks to prospective customer in order to follow up on a lead,0
Piano instructor talks to student in order to instruct on piano playing techniques,0
Nutritionist talks to client in order to develop a meal plan that meets their dietary needs,0
Host talks to guest in order to welcome them to a party.,0
Fundraiser talks to donor in order to solicit and receive donations for charitable organizations,0
Firefighter talks to other firefighters in order to put out fires.,0
Parent talks to babysitter in order to leave instructions for their child.,0
Coworker talks to safety representative in order to report a workplace hazard.,0
Participant talks to moderator in order to ask a question during a session.,0
Referee/umpire talks to players and coaches in order to make rulings and enforce rules of a game,0
Parking attendant talks to driver in order to direct them to a parking spot.,0
Virtual assistant talks to employer in order to manage their virtual tasks,0
English language learner talks to tutor in order to improve speaking skills.,0
STEM educator talks to student in order to teach them about coding.,0
Salesperson talks to distributor in order to set up a distribution agreement,0
Attendee talks to speaker in order to say thank you after a presentation.,0
Musician talks to booking agent in order to schedule a gig,0
Celebrity personal assistant talks to celebrity in order to manage their daily tasks,0
Graphic designer talks to client in order to design a custom logo,0
Manager talks to employee in order to provide performance feedback.,0
Real estate developer talks to city officials in order to obtain building permits.,0
Receptionist talks to client in order to provide information about office policies,0
Magician talks to assistant in order to coordinate illusions.,0
Actor talks to scriptwriter in order to ask for clarification on a scene.,0
Judge talks to bailiff in order to instruct court procedures.,0
Dentist talks to insurance adjuster in order to find out what procedures are covered,0
Team member talks to manager in order to provide progress updates.,0
Teacher talks to student in order to give them instructions for the lesson,0
Chiropractor talks to patient in order to diagnose and treat muscle and bone issues,0
Employer talks to employee in order to negotiate benefits,0
Insurance adjuster talks to claimant in order to determine the proper coverage for a claim.,0
Student talks to teacher in order to ask a question about homework.,0
Gardener talks to landscaper in order to swap gardening tips,0
Wedding photographer talks to wedding planner in order to coordinate photo opportunities for an event.,0
Translator talks to client in order to translate a document into a different language,0
Museum director talks to tour guide in order to plan a gallery tour,0
Customer talks to telephone operator in order to make a long-distance call,0
Store clerk talks to shopper in order to assist with finding products,0
Plumbing technician talks to client in order to understand plumbing issues,0
Archaeologist talks to colleagues in order to research and uncover historical artifacts,0
Waiter talks to customer to sing happy birthday,0
Truck driver talks to dispatcher in order to receive delivery instructions,0
Friend talks to friend in order to arrange a social gathering,0
Barista talks to customer in order to take their coffee order,0
Scout talks to athlete in order to evaluate their skills,0
Film director talks to editor in order to finalize a movie.,0
Textbook author talks to editor in order to prepare a manuscript for publication.,0
Inventor talks to patent attorney in order to file a patent for their invention,0
Auctioneer talks to bidders in order to sell an item,0
Esthetician talks to manager to report a customer complaint,0
Pet store employee talks to customer in order to provide pet care advice and sell pet products,0
Children's author talks to illustrator in order to collaborate on book projects,0
Job coordinator talks to employee in order to assign work tasks,0
Hair stylist talks to makeup artist in order to coordinate styling.,0
Beauty consultant talks to customer in order to provide makeup or skincare advice,0
Photographer talks to subject in order to capture their image,0
Human resources representative talks to new employee in order to conduct onboarding.,0
Customer talks to tailor in order to alter clothing,0
Tour guide talks to coworker in order to coordinate group activities.,0
Patient talks to audiologist in order to receive hearing treatment.,0
Architect talks to builder in order to plan construction of a building,0
Parent talks to neighbor in order to arrange a playdate for their children.,0
House guest talks to host in order to ask for additional bedding.,0
Caregiver talks to disabled person in order to assist with daily tasks,0
Employee talks to company representative in order to negotiate a severance package,0
Employee talks to coworker in order to ask for a referral for a job opportunity.,0
Executive talks to shareholder in order to explain financial performance.,0
Fiction writer talks to publisher in order to discuss publishing their book,0
Customer talks to customer service representative in order to report lost or stolen card,0
Linguist talks to foreign language learner in order to teach language skills,0
Environmentalist talks to community in order to promote conservation.,0
Job seeker talks to recruiter in order to discuss job opportunities.,0
Interpreter talks to client in order to help them communicate with someone who speaks a different language,0
Property manager talks to tenant in order to schedule maintenance.,0
Teacher talks to librarian about book selection for a class.,0
Personal shopper talks to client in order to find them the perfect outfit,0
Employee talks to marketing specialist in order to approve advertising campaign,0
Neighbor talks to neighbor in order to form a block watch program,0
Mentor talks to mentee in order to provide guidance,0
Car rental agent talks to customer in order to rent a car.,0
Health insurance specialist talks to healthcare provider in order to resolve billing or coverage issues.,0
Parent talks to therapist in order to seek treatment for their child's emotional issues.,0
Patient talks to genetic counselor in order to understand hereditary risks.,0
Passenger talks to bus driver in order to request a stop.,0
Cashier talks to security to report a theft,0
Sound engineer talks to producer in order to record and produce music and sound projects,0
Shop owner talks to suppliers about product inventory.,0
Plant biologist talks to colleagues in order to research and analyze plant life and growth,0
Orchestra conductor talks to musicians in order to direct and lead musical performances,0
Employee talks to payroll specialist in order to check pay stubs.,0
High school student talks to guidance counselor in order to discuss college options,0
Employee talks to payroll manager in order to enroll in a 401k plan.,0
Private investigator talks to client in order to conduct an investigation,0
Child talks to parent in order to ask for permission,0
Customer talks to sales representative in order to purchase a car.,0
Cashier talks to manager in order to request a price check,0
Cashier talks to supervisor to seek approval for a discount,0
Landlord talks to tenant in order to address a maintenance issue,0
Executive talks to board member in order to discuss company strategy,0
Dentist talks to hygienist in order to coordinate dental procedures,0
Restaurant owner talks to chef in order to plan seasonal menus.,0
Passerby talks to police officer in order to report a crime.,0
Human resources talks to employee in order to schedule work hours.,0
Restaurant manager talks to server in order to assign tables,0
Coworker talks to HR representative in order to request a leave of absence.,0
Postman talks to homeowner in order to deliver mail.,0
Acting coach talks to actor in order to prepare them for a role,0
CEO talks to board of directors in order to present quarterly results,0
Airbnb host talks to guest in order to welcome them and provide information about the property,0
Employer talks to prospective employee in order to conduct a job interview.,0
Golf instructor talks to student in order to teach them how to play golf,0
Retail worker talks to a customer about product knowledge.,0
Host talks to vendor in order to arrange services.,0
Esthetician talks to client to provide a skincare treatment,0
Friend talks to friend in order to catch up on life events.,0
Employee talks to a hiring manager about job opportunities.,0
Fisherman talks to colleague in order to coordinate fishing equipment and operations,0
Parent talks to pediatrician in order to schedule vaccinations.,0
Event coordinator talks to performer in order to make staging arrangements.,0
Interior designer talks to client in order to design a space that meets their needs,0
Homeowner talks to landscaper in order to plant new flowers.,0
Employee talks to recruiter in order to find freelance or gig work,0
Horticulturist talks to clients in order to provide plant and garden landscape advice,0
Substance abuse counselor talks to patients in order to provide addiction counseling and support,0
Blogger talks to editor in order to submit an article for publication,0
Student talks to professor in order to ask for an extension on an assignment.,0
Traffic director talks to drivers in order to manage traffic flow and congestion,0
Salesperson talks to manager in order to discuss sales goals,0
Legal assistant talks to client in order to assist with legal paperwork,0
Restaurateur talks to restaurant staff in order to manage restaurant operations,0
Referee talks to linesman to confirm a call,0
Childbirth instructor talks to pregnant woman in order to provide childbirth education.,0
Police officer talks to dispatcher to request backup.,0
Home health aide talks to patient in order to provide assistance with daily living activities,0
Librarian talks to colleague to recommend a book,0
Participant talks to facilitator in order to contribute to a meeting.,0
Surveyor talks to landowner in order to assess land value.,0
Choir member talks to fellow member in order to harmonize together.,0
Salesperson talks to manufacturer in order to place an order for goods to sell in their store,0
Parent talks to nurse in order to inquire about child's medical health.,0
Construction worker talks to project manager in order to understand their job duties and tasks,0
Environmentalist talks to city council member in order to advocate for green initiatives,0
Human resources manager talks to new hire in order to conduct orientation.,0
Volunteer talks to event sponsor in order to thank them for their support,0
Camp counselor talks to camper in order to plan activities,0
Mail carrier talks to resident in order to deliver mail.,0
Customer talks to airline representative in order to book a flight.,0
Taxidermist talks to customer in order to discuss the details of their taxidermy request,0
Mover talks to customer in order to move their belongings,0
Performer talks to stage crew in order to coordinate a show,0
Restaurant manager talks to kitchen staff in order to coordinate orders and manage inventory,0
Parent talks to athletic coach in order to learn about a team's schedule.,0
"Customer talks to ""geek squad"" specialist in order to troubleshoot a computer issue",0
Service person talks to customer in order to negotiate a mutually beneficial deal,0
Employee talks to a counselor about workplace stress management.,0
Event planner talks to entertainment provider in order to book a performer,0
Parent talks to child in order to provide guidance,0
Salesperson talks to customer in order to make a sale.,0
Professor talks to department chair in order to discuss research funding.,0
Bicyclist talks to pedestrian in order to navigate a crowded bike path,0
Freelancer talks to client in order to negotiate a contract.,0
Student talks to enrollment advisor in order to apply to college,0
Public figure talks to publicist in order to manage their public image,0
Driver talks to a tow truck operator for roadside assistance.,0
Business owner talks to potential investor in order to secure funding.,0
Customer talks to manager in order to escalate a concern,0
NGO representative talks to local resident in order to provide aid,0
Hotline worker talks to callers in order to provide support for mental health.,0
Dance instructor talks to student in order to teach them a dance routine.,0
Investor talks to financial advisor in order to discuss investment opportunities.,0
Receptionist talks to patient to collect insurance information,0
Personal shopper talks to bride in order to select a wedding dress.,0
Financial analyst talks to investment banker in order to evaluate investment opportunities,0
Cultural anthropologist talks to research subjects in order to study and understand cultural practices and traditions,0
Business analyst talks to executive in order to analyze business strategy,0
Mechanic talks to parts supplier in order to order parts for a repair,0
Teacher talks to student in order to discuss the latter’s weak points in learning,0
Parent talks to daycare provider in order to pick up their child.,0
Web developer talks to designer in order to implement web design layouts and features,0
Human resources manager talks to executive in order to develop a company policy,0
Coach talks to player in order to motivate them to perform their best during a competition,0
Research assistant talks to lead researcher in order to provide research support.,0
Firefighter talks to bystander to identify a fire hazard,0
Stylist talks to model in order to dress them for a photoshoot,0
Homeless shelter staff member talks to client in order to understand their needs.,0
Musician talks to bandmate in order to plan a setlist,0
Marriage counselor talks to couple in order to improve their relationship,0
Scientist talks to colleague in order to collaborate on research,0
Clinical research associate talks to study coordinator in order to implement a clinical trial.,0
Flight attendant talks to passenger in order to calm them during turbulence,0
Software developer talks to quality assurance tester in order to improve software performance,0
Realtor talks to client in order to show them a property,0
Customer talks to live chat representative in order to request assistance on a website.,0
Roadside assistance operator talks to driver in order to assist them with car trouble,0
UX designer talks to user in order to determine user experience preferences,0
Pest control worker talks to homeowner in order to assess and treat pest infestation.,0
Furniture salesperson talks to customer in order to sell furniture,0
Food truck operator talks to hungry customer in order to take their order,0
Parent talks to a music teacher about the child's musical development.,0
Telemarketer talks to prospective customer in order to pitch a product,0
Retail worker talks to store manager in order to report a problem.,0
Healthcare provider talks to patient in order to discuss a treatment plan.,0
Coach talks to athlete in order to give post-game feedback.,0
Customer talks to account manager in order to close account,0
Homeowner talks to window cleaner in order to clean windows.,0
Customer talks to warranty representative in order to seek assistance with a product issue,0
Student talks to advisor in order to choose classes for the upcoming semester.,0
Journalist talks to source in order to gather information for a news story,0
Marketing professional talks to colleague in order to develop a marketing strategy,0
Real estate agent talks to seller to set a price for a property,0
Air traffic controller talks to pilot in order to navigate planes safely,0
Web content writer talks to client in order to research and write content for a website,0
Boss talks to employee in order to delegate work tasks,0
Boss talks to HR to hire a new employee,0
Expert talks to journalist in order to provide insight or analysis on a topic,0
Actor talks to makeup artist in order to get ready for a performance.,0
Actor talks to director in order to receive feedback on performance.,0
Lawyer talks to witness in order to gather evidence for a legal case,0
Accountant talks to client in order to review their tax documents.,0
Employee talks to peer in order to get feedback on a project.,0
Coach talks to team captain in order to discuss team strategy.,0
Production manager talks to factory worker in order to coordinate manufacturing tasks.,0
Recruitment consultant talks to job candidate in order to help them find employment opportunities.,0
Significant other talks to partner in order to make plans for the future.,0
Renter talks to real estate agent in order to find a new place to live,0
Landscaper talks to architect in order to plan outdoor spaces for a building,0
Marketing manager talks to team member in order to discuss marketing campaign strategies.,0
Solicitor talks to potential client in order to offer legal services.,0
Receptionist talks to visiting client in order to check them in,0
Office manager talks to maintenance worker in order to fix a broken fixture,0
Personal relocator talks to client in order to plan and coordinate moving services and relocation efforts,0
Environmental scientist talks to government officials in order to discuss environmental policies and regulations.,0
Scientist talks to lab partner in order to conduct an experiment,0
Biomedical researcher talks to medical professionals in order to report and present research findings,0
Recruiter talks to job candidate in order to conduct a pre-screening,0
Hairdresser talks to apprentice in order to teach new techniques,0
Oncologist talks to patient in order to provide cancer treatment and support services,0
Tattoo artist talks to client in order to design and apply custom tattoos,0
Engineer talks to manufacturer in order to create a product design.,0
Hospital administrator talks to medical staff in order to manage patient care.,0
Driver talks to police officer in order to report a driving incident.,0
Electrician talks to architect in order to discuss wiring plans for a building,0
Cake decorator talks to customer in order to plan a cake design,0
Researcher talks to participant in order to collect data for a study.,0
Trainer talks to animal handler in order to work with animals in a zoo,0
Postman talks to colleague to coordinate deliveries,0
Food critic talks to chef and restaurant staff in order to review and critique dining experiences,0
Member talks to gym staff in order to sign up for a fitness class.,0
Boss talks to employee in order to assign tasks for the day.,0
Carpenter talks to contractor in order to receive instructions for building a structure.,0
Firefighter talks to property owner in order to assess and contain fires,0
App developer talks to user in order to troubleshoot technical issues,0
Fortune teller talks to client in order to provide a fortune prediction.,0
Museum archivist talks to researcher in order to provide historical information,0
Patient talks to mental health professional in order to seek therapy.,0
Marketing specialist talks to graphic designer in order to create an advertisement.,0
Co-worker talks to supervisor in order to ask for a day off,0
Museum curator talks to researcher in order to plan and coordinate exhibits and collections,0
Museum docent talks to guest in order to give a tour,0
Pizza delivery person talks to customer in order to confirm address,0
Restaurant manager talks to supplier in order to order ingredients,0
Team leader talks to team members in order to assign tasks,0
Volunteer talks to supervisor in order to receive instructions for their shift.,0
Friend talks to friend in order to catch up and maintain a relationship,0
Bank representative talks to client about investment opportunities.,0
Builder talks to environmental engineer in order to ensure that construction projects are environmentally responsible,0
Teacher talks to parent in order to schedule parent-teacher conference,0
Fitness blogger talks to subscribers in order to provide workout tips,0
Outdoor guide talks to group members in order to lead an adventure activity,0
Banquet manager talks to server in order to coordinate a banquet event.,0
Student talks to tutor in order to receive academic assistance,0
Product brand manager talks to advertising team in order to develop and produce marketing campaigns for new products,0
Stock trader talks to colleague in order to discuss market trends,0
New coworkers talk to each other in order to introduce themselves,0
Geologist talks to mining company representative in order to plan mining operations,0
Coach talks to team in order to give a pep talk before a game,0
Chef talks to sous chef in order to coordinate meal preparation,0
Teacher talks to principal in order to discuss a school-wide issue.,0
Volunteer talks to coordinator in order to receive instructions on task.,0
Construction worker talks to subcontractor in order to coordinate construction tasks,0
Teacher talks to administrator in order to request supplies for their classroom,0
Blogger talks to other bloggers in order to collaborate on blog content.,0
Football coach talks to football player in order to give strategy for upcoming game,0
Coach talks to nutritionist in order to create a team meal plan.,0
Ski instructor talks to students in order to teach skiing techniques,0
Military officer talks to soldier in order to give military orders,0
Environmental activist talks to business owner in order to suggest sustainable business practices.,0
Soccer player talks to teammate in order to set up a play.,0
Customer talks to store associate in order to return a product.,0
Dentist talks to dental assistant in order to assist with a procedure,0
Employee talks to client in order to discuss a project timeline.,0
Maintenance worker talks to tenant in order to fix a broken appliance,0
Office manager talks to employee in order to assign office tasks,0
Friend talks to friend in order to give a gift.,0
Career coach talks to client in order to provide career advice,0
Musician talks to sound technician in order to adjust levels,0
Hair stylist talks to client in order to style their hair,0
Wine critic talks to winemaker in order to write a review,0
Voice coach talks to singer in order to improve their singing voice,0
Employee talks to coworker in order to report a coworker's misconduct.,0
Moderator talks to panelists in order to facilitate a discussion,0
Sales manager talks to sales team in order to review performance,0
Makeup artist talks to client in order to apply makeup for special events or photo shoots,0
Human resources representative talk to employee in order to conduct performance review,0
Chef talks to prep cook in order to delegate tasks,0
Retail worker talks to manager in order to receive employee discounts on various products,0
Parent talks to teacher about afterschool programs.,0
Television viewer talks to customer service representative in order to confirm their cable subscription.,0
Immigration officer talks to immigrant in order to process immigration documents and applications,0
Carpenter talks to customer in order to design custom woodworking projects,0
Customer talks to representative in order to return a defective item.,0
ESL teacher talks to student in order to teach English.,0
Plant nursery owner talks to customer in order to sell potted plants.,0
Employee talks to a benefits representative regarding disability benefits.,0
Historian talks to researcher in order to assist with historical research and projects,0
Developer talks to project manager in order to discuss project requirements.,0
Customer talks to bank representative in order to review account balance,0
Musician talks to recording producer in order to discuss studio sessions.,0
Administrative assistant talks to coworker in order to schedule a meeting,0
Lifeguard talks to pool-goer in order to enforce safety rules,0
Hiking guide talks to hikers in order to provide trail information and safety precautions,0
Co-worker talks to manager in order to voice concerns about workplace environment.,0
Immigration lawyer talks to client in order to help them obtain a visa,0
Homeowner talks to exterminator in order to rid home of pests.,0
Driver talks to toll booth operator in order to pay tolls.,0
Diversity trainer talks to participants in order to facilitate discussions and trainings on inclusion and diversity issues,0
Tour guide talks to driver to navigate a route,0
Hair stylist talks to bride in order to plan a wedding up-do,0
Golf coach talks to golfer in order to give swing advice,0
Photographer talks to model in order to take photos,0
Sales representative talks to purchasing agent in order to negotiate a price.,0
Siblings talk to each other in order to catch up on life events.,0
Utility company representative talks to homeowner in order to read a meter or inspect utility equipment,0
Realtor talks to seller in order to discuss home staging.,0
Maintenance worker talks to building administrator in order to address issues.,0
Entrepreneur talks to mentor in order to receive business advice.,0
Political strategist talks to politician in order to plan campaign strategy,0
Coach talks to scout in order to discuss potential recruits,0
Friend talks to friend in order to reminisce about a shared experience.,0
Volunteer talks to fellow volunteer in order to organize a charity event.,0
Child talks to friend to play a game,0
Film critic talks to director in order to write a movie review,0
Employee talks to supervisor in order to report a work-related problem.,0
Sales representative talks to account manager in order to discuss client's needs,0
College admissions officer talks to applicant in order to review application materials,0
Chef talks to line cook in order to coordinate orders,0
IT support talks to customer in order to explain how to use new software.,0
Graphic designer talks to printer in order to discuss printing specifications and delivery.,0
Public speaker talks to audience in order to sell a product or service.,0
Ensemble member talks to conductor in order to discuss a music performance,0
Producer talks to cast in order to direct a play.,0
Interviewee talks to interviewer in order to answer questions about their experience.,0
Tenant talks to landlord in order to give notice of moving out,0
Dog walker talks to client in order to coordinate pet care services,0
Intern talks to supervisor in order to receive feedback on tasks.,0
Friend talks to friend in order to apologize for miscommunication.,0
Engineer talks to contractor in order to plan and oversee construction projects,0
Employee talks to supervisor in order to request assistance on professional development,0
Physical therapist talks to medical doctor in order to coordinate care for a patient,0
Engineer talks to customer in order to understand their product needs,0
Sales manager talks to sales representative in order to provide feedback on sales calls.,0
IT help desk talks to employee in order to solve a computer issue,0
Humanitarian aid worker talks to refugee in order to provide shelter and food.,0
Marathon coach talks to clients in order to develop a training plan,0
Engineer talks to project manager about project deadlines.,0
Mechanic talks to customer in order to diagnose car problems,0
Stunt double talks to actor in order to rehearse a dangerous scene,0
IT support talks to user in order to troubleshoot tech problems,0
Attendee talks to presenter in order to ask questions during a lecture.,0
Food blogger talks to chef in order to write a restaurant review,0
Customer talks to art dealer in order to purchase artwork,0
Non-profit organization worker talks to donor in order to establish funding support,0
Patient talks to physician to inquire about prescription refills,0
Event organizer talks to vendor in order to secure supplies.,0
Set designer talks to production staff in order to design and construct theater sets,0
Event host talks to attendees in order to introduce the event.,0
Employers talk to a career counselor about workplace trends.,0
IT manager talks to system administrator in order to manage network and computer systems.,0
Restaurant owner talks to reviewer in order to receive feedback,0
Recycling center attendant talks to customer in order to accept and sort recycled materials,0
DJ talks to partygoer in order to take song requests,0
Landscaper talks to client in order to design a garden,0
Delivery person talks to recipient in order to obtain a signature for their package.,0
