text,slot,value,pred,error
"""lastly , i need a taxi between the 2 place -s , i would liek to get to the kohinoor restaurant by the booked time of 19:45 .""","""taxi arrive by""","""19:45""","{""accommodation requirements"": ""Free parking"", ""free parking available"": ""?"", ""help needed"": ""Finding a place to stay"", ""preferred side"": ""North"", ""price range"": ""?"", ""hotel location"": ""North"", ""hotel type"": ""1 star"", ""1 star hotel north"": ""False"", ""try something else"": ""4 stars"", ""star rating"": ""4 stars"", ""hotel preference"": ""?"", ""num cheap hotels"": ""1"", ""num moderate hotels"": ""6"", ""num options"": ""7"", ""booking date"": ""Wednesday 19:45"", ""num guests"": ""6 people"", ""preference"": ""moderate"", ""stay duration"": ""2 nights"", ""additional services"": ""cheap and belgian food"", ""reservation location"": ""acorn guest house"", ""reservation reference number"": ""5msb4h92"", ""dining location"": ""?"", ""food type"": ""Indian"", ""cheap belgian food"": ""False"", ""other food type"": ""?"", ""indian food"": ""?"", ""area preference"": ""No preference"", ""enjoy kohinoor food"": ""Yes"", ""indian restaurants"": ""4"", ""recommended restaurant"": ""kohinoor"", ""reserve table kohinoor"": ""?"", ""reservation day"": ""?"", ""reservation number"": ""?"", ""reservation time"": ""?"", ""reserve table"": ""True"", ""booking day"": ""Wednesday"", ""booking people"": ""6"", ""booking time"": ""19:45"", ""group size"": ""6"", ""booking location"": ""Mahal of cambridge"", ""booking reference number"": ""4b8hxaf2"", ""arrival time"": ""19:45"", ""destination"": ""kohinoor restaurant"", ""taxi needed"": ""2 place -s""}",no domain
"""i want to be at the attraction by 2:15 and will need a contact number for the driver and car type .""","""taxi arrive by""","""02:15""","{""interest"": ""nightclubs"", ""location"": ""Centre"", ""nightclubs"": ""?"", ""visitor"": ""tourist"", ""check all nightclubs"": ""?"", ""nightclubs in centre"": ""5"", ""recommendation nightclubs"": ""?"", ""check all"": ""False"", ""phone number"": ""07782218745"", ""postcode"": ""cb12jb"", ""recommendation"": ""True"", ""entrance fee"": ""5 pounds"", ""help needed"": ""?"", ""nightclub name"": ""club salsa"", ""heard of university arms hotel"": ""True"", ""book university arms hotel"": ""True"", ""free parking"": ""True"", ""star rating"": ""4"", ""wifi"": ""True"", ""duration"": ""3 nights"", ""num people"": ""3 people"", ""start date"": ""sunday"", ""book another day"": ""False"", ""book shorter stay"": ""True"", ""booking unsuccessful"": ""True"", ""booking duration"": ""1 night"", ""booking start date"": ""Sunday"", ""hotel name"": ""university arms hotel"", ""is correct"": ""?"", ""stay duration"": ""3 nights"", ""correct booking"": ""university arms for 4 people starting sunday for 3 nights"", ""num nights"": ""1 night"", ""availability sunday 1 night 3 people"": ""No"", ""change stay length"": ""?"", ""different day"": ""?"", ""different day change"": ""True"", ""other days available"": ""?"", ""stay length change"": ""True"", ""reservation date"": ""Sunday night"", ""reservation ref"": ""hr5q3jru"", ""room count"": ""4"", ""assistance needed"": ""taxi between 2 location -s"", ""help with anything else today"": ""taxi between 2 location -s"", ""taxi available"": ""?"", ""leave time"": ""2:15"", ""car type"": ""?"", ""contact number"": ""?""}",destination/departure
"""hi , i am needing a taxi , leaving cafe uno and i need to arrive by 24:30""","""taxi arrive by""","""24:30""","{""arrival time"": ""24:30"", ""leaving location"": ""Cafe uno"", ""needing taxi"": ""True""}",no domain
"""oh ok . can i get a taxi from whale of a time to the nirala . i want to get to the restaurant by 17:30 .""","""taxi arrive by""","""17:30""","{""friend recommendation"": ""try nirala restaurant"", ""friend visit date"": ""last month"", ""nirala restaurant description"": ""?"", ""nirala address"": ""7 milton road, chesterton"", ""nirala cuisine"": ""Indian"", ""nirala location"": ""7 milton road, chesterton"", ""nirala price range"": ""moderate price range"", ""restaurant name"": ""Nirala"", ""nirala food type"": ""indian food"", ""nirala table capacity"": ""6 people"", ""nirala table time"": ""sunday 18:30"", ""book table sunday 1830 6 people"": ""Unsuccessful"", ""try different time"": ""True"", ""preferred time"": ""17:30"", ""booking successful"": ""True"", ""reference number"": ""gwd5rfuq"", ""location"": ""bar hill"", ""recommendation"": ""?"", ""entertainment recommendation"": ""Whale of a time building"", ""west side recommendations"": ""Whale of a time building"", ""attraction type"": ""Entertainment venue"", ""interests museums colleges"": ""?"", ""other attractions"": ""Museums, colleges"", ""address"": ""unit 8, viking way, bar hill"", ""entrance fee"": ""unknown"", ""interests"": ""Whale of a time building"", ""street name"": ""viking way"", ""unit number"": ""8"", ""book for me"": ""?"", ""book it"": ""False"", ""take bookings"": ""False"", ""arrival time"": ""17:30"", ""destination"": ""Nirala"", ""taxi available"": ""?"", ""taxi location"": ""Whale of a time""}",no domain
"""the taxi should arrive by 02:30""","""taxi arrive by""","""02:30""","{""taxi destination"": ""soul tree nightclub"", ""arrival time"": ""02:30"", ""leave time"": ""02:30"", ""taxi arrival time"": ""02:30""}",no domain
"""could you also please book me a taxi from the museum to golden wok ? i really do not want to miss my reservation , so it'll have to get there by 17:15 .""","""taxi arrive by""","""17:15""","{""location"": ""north part of town"", ""museum attraction"": ""?"", ""searcher"": ""speaker"", ""cambridge county folk museum"": ""fantastic"", ""west museums"": ""7"", ""entrance fee"": ""3.50 pounds"", ""phone number"": ""01223355159"", ""golden wok location"": ""?"", ""cuisine type"": ""chinese"", ""price range"": ""moderate price range"", ""restaurant name"": ""golden wok"", ""reservation date"": ""Friday 17:15"", ""reservation day"": ""friday"", ""reservation number"": ""3"", ""reservation people"": ""3"", ""reservation time"": ""17:15"", ""reservation friday 1715 3 people"": ""Yes"", ""reservation reference number"": ""5zfdmtis"", ""reservation taken care of"": ""Yes"", ""missed reservation"": ""?"", ""taxi arrival time"": ""17:15"", ""taxi destination"": ""Golden wok""}",correct
"""yes , i will also need a taxi to get from the hotel to the restaurant by 11:30 . can you help with that ?""","""taxi arrive by""","""11:30""","{""free parking lodgings"": ""?"", ""need lodgings"": ""True"", ""need parking"": ""True"", ""stay area"": ""North"", ""hotel type"": ""Hotel"", ""need free parking"": ""Yes"", ""need internet"": ""No"", ""star rating"": ""4 star"", ""book room"": ""False"", ""suggested hotel"": ""kirkwood house"", ""suggested location"": ""172 chesterton road"", ""hotel location"": ""North, 172 chesterton road"", ""hotel phone number"": ""01223306283"", ""need reservation"": ""False"", ""need anything else"": ""True"", ""help with booking"": ""True"", ""num nights"": ""5"", ""num people"": ""7"", ""start date"": ""Monday"", ""additional help"": ""?"", ""reference number"": ""pnsoqsvp"", ""additional help needed"": ""False"", ""assistance needed"": ""False"", ""gratitude expressed"": ""True"", ""thank reason"": ""Helping"", ""wish for me"": ""Have a great trip"", ""before go"": ""information about pipasha restaurant"", ""pipasha info"": ""Expensive indian resturant in the east"", ""address pipasha"": ""Newmarket road fen dittion"", ""phone number pipasha"": ""01223577786"", ""reservation pipasha"": ""?"", ""reservation"": ""True"", ""reservation date"": ""Same day"", ""reservation time"": ""11:30"", ""booked table"": ""pipasha"", ""further assistance"": ""?"", ""assistance"": ""taxi"", ""taxi help"": ""?"", ""taxi location"": ""hotel"", ""taxi time"": ""11:30""}",correct
"""i need to arrive by 04:45 .""","""taxi arrive by""","""04:45""","{""museum name"": ""Museum of archaelogy and anthropology"", ""transportation needed"": ""Taxi"", ""visit location"": ""Museum of archaelogy and anthropology"", ""arrival time"": ""04:45"", ""earliest arrival time"": ""04:00"", ""latest arrival time"": ""04:45""}",no domain
"""i am looking for entertainment attractions in the south .""","""attraction area""","""south""","{""accommodation type"": ""?"", ""price range"": ""Moderate"", ""stay type"": ""Guest house"", ""preferred area"": ""West"", ""star rating"": ""3"", ""3 star rating"": ""Yes"", ""book hobsons house"": ""True"", ""parking"": ""Yes"", ""west area"": ""Hobsons house"", ""wifi"": ""Yes"", ""phone number"": ""01223304906"", ""anything else today"": ""entertainment attractions in the south"", ""attraction location"": ""south"", ""attraction type"": ""entertainment attractions""}",correct
"""thank you . i would also like to find a place to go in town in the same area of the restaurant .""","""attraction area""","""centre""","{""location"": ""same area as cambridge chop house"", ""price range"": ""Expensive"", ""restaurant type"": ""Expensive"", ""food type"": ""Local"", ""restaurant options"": ""33"", ""phone number 1"": ""?"", ""phone number"": ""01223359506"", ""restaurant name"": ""cambridge chop house"", ""recommended place"": ""?""}",coreference
"""i am looking for a place to go in the west .""","""attraction area""","""west""","{""location"": ""West"", ""traveler"": ""Traveler"", ""west place"": ""?""}",no domain
"""thank you . am also looking for place -s to go in town . the attraction should be in the east""","""attraction area""","""east""","{""restaurant assistance"": ""True"", ""restaurant location"": ""?"", ""trip planner"": ""speaker"", ""trip purpose"": ""go to a particular restaurant"", ""assistance"": ""True"", ""restaurant name"": ""nandos"", ""booking date"": ""monday"", ""booking time"": ""15:00"", ""num people"": ""6"", ""table reservation date"": ""Monday 15:00"", ""table reservation duration"": ""15 minutes"", ""table reservation reference number"": ""hvb51vam"", ""table reservation time"": ""15:00"", ""attraction location"": ""east"", ""reference number"": ""hvb51vam"", ""table hold time"": ""15 minutes"", ""table reserved monday 15"": ""00: hvb51vam""}",correct
"""i am looking for a theatre on the west side of town .""","""attraction area""","""west""","{""location"": ""west side of town"", ""searcher"": ""speaker"", ""theatre type"": ""?""}",no domain
"""i would like to visit a college in the center of town .""","""attraction area""","""centre""","{""hotel name"": ""hamilton lodge"", ""location"": ""cambridge"", ""looking for"": ""hamilton lodge"", ""hamilton lodge address"": ""156 chesterton road"", ""hamilton lodge postcode"": ""cb41da"", ""num nights"": ""5"", ""num people"": ""2"", ""start date"": ""Tuesday"", ""booking nights"": ""5"", ""booking people"": ""2"", ""booking reference number"": ""qnvdz4rt"", ""booking start date"": ""tuesday"", ""arrival date"": ""tuesday"", ""reference number"": ""qnvdz4rt"", ""assist today"": ""?"", ""assist question"": ""place -s to go in town"", ""help question"": ""looking for place -s to go in town"", ""search question"": ""place -s to go in town"", ""place type"": ""College"", ""college location"": ""Center of town""}",no domain
"""i would like to be in the northern part of town .""","""attraction area""","""north""","{""additional requirements"": ""free wifi"", ""hotel with 4 stars"": ""?"", ""hotel with free wifi"": ""?"", ""looking for"": ""place to stay"", ""star rating"": ""4 stars"", ""hotel with 4 stars and free wifi"": ""many"", ""narrow down search"": ""?"", ""narrow search"": ""moderate_price_range"", ""price range"": ""moderate_price_range"", ""archway house amenities"": ""free internet, parking"", ""archway house location"": ""north"", ""archway house price range"": ""moderate -ly pried"", ""archway house suitability"": ""?"", ""archway house works"": ""Yes"", ""num nights"": ""5"", ""num people"": ""1"", ""start date"": ""Thursday"", ""additional services"": ""Visit park"", ""booking status"": ""All booked"", ""reference number"": ""1ms0rjxa"", ""visit park"": ""?"", ""nearby parks"": ""5"", ""specific area"": ""playground equipment"", ""specific park"": ""playground equipment"", ""most playground equipment"": ""playground equipment"", ""playground equipment available"": ""Yes"", ""preferred playground area"": ""?"", ""northern part of town"": ""True"", ""playground location"": ""Northern part of town""}",no domain
"""i need a place in the centre . i welcome any suggestions you may have .""","""attraction area""","""centre""","{""have ideas"": ""False"", ""looking for place"": ""True"", ""suggestions"": ""?"", ""boats interest"": ""False"", ""museums interest"": ""False"", ""night clubs interest"": ""False"", ""totally different interest"": ""?"", ""centre location"": ""?"", ""different interest"": ""True"", ""suggestions welcome"": ""?""}",value in slot
"""i would like to visit 1 in the centre .""","""attraction area""","""centre""","{""find college"": ""True"", ""help find college"": ""?"", ""visit college"": ""?"", ""cambridge colleges"": ""18"", ""visit area"": ""centre"", ""college location"": ""centre"", ""number of colleges"": ""1""}",slot variant
"""hi there ! can you recommend a great museum in the center of town ?""","""attraction area""","""centre""","{""conversation initiator"": ""speaker"", ""desired location"": ""center of town"", ""recommended museum"": ""?"", ""requested information"": ""recommendation for great museum in center of town""}",correct
"""i want to leave the riverboat georgina at 5:30 to go to the ashley hotel""","""taxi leave at""","""05:30""","{""bus price north"": ""?"", ""bus search"": ""False"", ""bus search info"": ""?"", ""location"": ""cambridge passenger cruisers, jubilee house"", ""need"": ""place to stay"", ""star rating"": ""2 stars"", ""ashley booking"": ""?"", ""hotel options"": ""\""ashley\"", \""lovell lodge\"""", ""lovell booking"": ""?"", ""ashley guest house"": ""?"", ""book 1"": ""True"", ""lovell guest house"": ""?"", ""guest house"": ""False"", ""guest houses in area"": ""False"", ""try another type"": ""True"", ""hotel type"": ""?"", ""preferred type"": ""Hotel"", ""ashley hotel reason"": ""meets needs"", ""book ashley hotel"": ""True"", ""hotel suggestion"": ""ashley hotel"", ""arrival date"": ""Wednesday"", ""num guests"": ""3"", ""stay duration"": ""5 nights"", ""additional info"": ""city_activity_suggestions"", ""reference #"": ""9dawcuzt"", ""city activity"": ""?"", ""preferred location"": ""north"", ""activity"": ""boat ride"", ""contact info"": ""cambridge passenger cruisers, jubilee house, postcode cb43ax"", ""suggestion"": ""riverboat georgina"", ""provide contact info"": ""?"", ""riverboat georgina contact info"": ""True"", ""phone number"": ""?"", ""postcode"": ""cb43ax"", ""phone number needed"": ""False"", ""taxi location"": ""?"", ""taxi needed"": ""True"", ""departure time"": ""5:30"", ""destination"": ""The ashley hotel"", ""departure location"": ""The riverboat georgina"", ""final destination"": ""The ashley hotel""}",no domain
"""i need a taxi between the hotel and the camboats . i want to leave the camboats by 3:45 .""","""taxi leave at""","""03:45""","{""cheap place to stay"": ""?"", ""information needed"": ""Cheap place to stay"", ""looking for info"": ""True"", ""cheap pricing options"": ""Yes"", ""other search criteria"": ""?"", ""place -s in area"": ""10"", ""search criteria"": ""star rating of 0"", ""star rating"": ""0"", ""first choice"": ""el shaddai"", ""second choice"": ""city centre north bed and breakfast"", ""star rating 0"": ""el shaddai, city centre north bed and breakfast"", ""booking reference number"": ""f4whx6ku"", ""booking requirements"": ""2 nights for 4 people starting from friday"", ""hotel recommendation"": ""el shaddai, city centre north bed and breakfast"", ""help with anything else"": ""Finding a place to visit in the east part of the town"", ""find place"": ""?"", ""location"": ""East part of the town"", ""boating preference"": ""?"", ""east place"": ""Many"", ""museum preference"": ""?"", ""other preference"": ""?"", ""park preference"": ""?"", ""entrance fee"": ""No access"", ""fun"": ""very fun"", ""info"": ""?"", ""recommendation"": ""camboats"", ""type"": ""boat attraction"", ""more info"": ""True"", ""additional services"": ""taxi between hotel and camboats, leave camboats by 3:45"", ""contact number"": ""01223902112"", ""taxi departure time"": ""3:45"", ""taxi destination"": ""hotel""}",correct
"""i want to leave the hotel by 3:30 .""","""taxi leave at""","""03:30""","{""address"": ""The grafton centre, east road, cb11ps"", ""asker"": ""speaker"", ""location"": ""Grafton centre, east road, cb11ps"", ""museum in cambridge"": ""?"", ""specific area"": ""True"", ""attraction address"": ""?"", ""attraction area"": ""?"", ""attraction type"": ""Cinema"", ""entrance fee"": ""No"", ""phone number"": ""08712240240"", ""worth house info"": ""?"", ""hotel name"": ""Worth house"", ""worth house internet"": ""Free"", ""worth house location"": ""City centre"", ""worth house parking"": ""Free"", ""worth house price"": ""Cheap"", ""worth house rating"": ""4 star"", ""num nights"": ""2"", ""num people"": ""7"", ""start date"": ""thursday"", ""additional services"": ""taxi booking"", ""all set"": ""Yes"", ""booking status"": ""Successful"", ""reference number"": ""bcjgu3wz"", ""book taxi"": ""?"", ""taxi destination"": ""cinema"", ""taxi location"": ""hotel"", ""taxi number"": ""1"", ""arrival time"": ""3:30"", ""departure location"": ""Hotel"", ""departure time"": ""3:30""}",no domain
